Z,N,A,delta_E,movement,stable,boundary_hit,success
20,33,53,340.6726099396765,10.084817778911015,True,True,False
20,34,54,352.844929698178,7.015129896842453,True,True,False
20,35,55,354.56950298456286,8.08167866702863,True,True,False
20,36,56,338.62595754775975,8.57805071760504,True,True,False
20,37,57,375.6420914654591,8.928147792352394,True,True,False
20,38,58,394.2931294739865,5.07330296261944,True,False,False
20,39,59,381.70103467300214,6.324081132589345,True,False,False
20,40,60,376.4780599698024,9.847099704729395,True,True,False
20,41,61,389.9430082518302,8.751023502698928,True,True,False
20,42,62,381.306497376856,8.036073404407283,True,True,False
20,43,63,433.6956921465935,8.131997412437292,True,True,False
20,44,64,392.8871940345707,8.57760081025449,True,True,False
20,45,65,409.16747499920893,7.887848657222672,True,True,False
20,46,66,455.10155440180824,5.770487461755752,True,True,False
20,47,67,417.72372637611625,9.662358217751885,True,True,False
20,48,68,456.91165888232354,7.491598213981787,True,True,False
20,49,69,435.9078710313879,8.017963416593092,True,True,False
20,50,70,434.612520880939,9.37855802965284,True,True,False
20,51,71,462.2824888835821,6.922818733488509,True,True,False
20,52,72,425.5216470096857,8.807327342553867,True,True,False
20,53,73,459.3608485774239,7.233546821068106,True,True,False
20,54,74,468.6044378681254,7.951662169018698,True,True,False
20,55,75,482.0265731437321,8.244402578473341,True,True,False
20,56,76,493.53807559385314,7.477601912995206,True,True,False
20,57,77,457.5483739313786,8.376285146086856,True,True,False
20,58,78,461.33500511844613,9.046841944984662,True,True,False
20,59,79,482.8525604755778,8.79306995201398,True,True,False
20,60,80,525.4431802080726,5.321619262339944,True,True,False
